epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:00
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:00
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:00
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:00
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:00
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:00
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:01
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:21
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:21
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:21
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:21
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:21
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:21
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,14:21
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,13:50
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,13:50
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,13:50
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,13:50
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,13:50
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,13:50
epoch,train_loss,valid_loss,dice,time
0,nan,nan,0.786181,13:50
